Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
2,132,1.35999,1.06278,0.02819,0.0160,26.1253,0.9051
2,133,1.24009,1.28983,0.02885,0.0174,25.2545,0.8991
2,134,1.32659,0.92916,0.02535,0.0147,26.2345,0.9168
2,135,1.22239,0.99531,0.02161,0.0113,26.8448,0.9175
2,136,1.06788,1.50516,0.03297,0.0205,24.2894,0.8829
2,137,1.02894,1.36405,0.02781,0.0159,25.0578,0.8873
2,138,1.01631,1.42451,0.02687,0.0139,26.5662,0.9044
2,139,1.37255,1.14410,0.03448,0.0223,23.9996,0.8922
2,140,1.42273,1.20680,0.03804,0.0217,24.1792,0.8890
2,141,1.33347,1.16362,0.03830,0.0240,24.1601,0.8964
2,142,1.28500,1.23647,0.02859,0.0152,27.3597,0.9013
2,143,1.30541,1.18540,0.03841,0.0249,24.6242,0.8879
2,144,1.24082,1.28079,0.03175,0.0209,25.6763,0.9154
2,145,1.11063,1.46451,0.03421,0.0202,24.1362,0.8793
2,146,1.14746,1.34462,0.03219,0.0203,26.0294,0.8939
2,147,1.29088,1.11185,0.03333,0.0206,25.4856,0.8891
2,148,1.35728,1.26084,0.03644,0.0182,24.4291,0.8824
2,149,1.36540,1.01097,0.02847,0.0177,26.3169,0.9136
2,150,1.33236,1.07448,0.02859,0.0176,25.9470,0.9073
2,151,1.15019,1.44792,0.03762,0.0282,24.9009,0.8903
2,152,1.35444,1.23299,0.04155,0.0300,23.4898,0.8740
3,1,1.24959,1.38390,0.03883,0.0318,24.7924,0.8898
3,2,1.37874,1.05982,0.03107,0.0207,25.7253,0.9099
3,3,1.29219,1.17719,0.03147,0.0212,25.7131,0.9031
3,4,1.26081,1.16291,0.03345,0.0226,25.3035,0.9050
3,5,1.19916,1.22063,0.03605,0.0257,24.8370,0.8924
3,6,1.35586,1.09940,0.03556,0.0254,25.0844,0.8956
3,7,1.24664,1.31115,0.02938,0.0189,28.0366,0.9077
3,8,1.20867,1.10689,0.02655,0.0149,26.7342,0.9135
3,9,1.33990,0.99335,0.02621,0.0158,28.4172,0.9104
3,10,1.07472,1.44183,0.02739,0.0157,26.9781,0.9017
3,11,1.22652,1.22522,0.03517,0.0241,24.0029,0.8918
3,12,1.06852,1.78644,0.02824,0.0169,25.0788,0.8916
3,13,1.10351,1.32394,0.02346,0.0109,27.1121,0.8930
3,14,0.97823,1.29023,0.03252,0.0200,24.1249,0.8782
3,15,1.03743,1.23013,0.03473,0.0216,25.9303,0.8849
3,16,1.12837,1.38594,0.03923,0.0257,23.3723,0.8822
3,17,1.33183,1.34881,0.04032,0.0225,23.8557,0.8758
3,18,1.30993,1.50755,0.03751,0.0203,23.8633,0.8829
3,19,1.25561,1.51323,0.03097,0.0178,26.0828,0.8947
3,20,1.57445,0.91534,0.03208,0.0196,25.2666,0.8989
3,21,1.31545,0.94786,0.03038,0.0188,24.8301,0.8979
3,22,1.27776,1.17456,0.03064,0.0183,25.1675,0.9005
3,23,1.09349,1.35232,0.03022,0.0176,25.7604,0.8997
3,24,1.01873,1.33558,0.02506,0.0139,26.9867,0.9045
3,25,1.23167,1.42464,0.02833,0.0168,26.0486,0.8969
3,26,1.32429,1.16531,0.03463,0.0238,24.4740,0.8979
3,27,1.29241,1.15117,0.02816,0.0150,26.7639,0.9097
3,28,1.04442,1.44322,0.02895,0.0182,25.7115,0.8942
3,29,1.09309,1.45646,0.03431,0.0223,25.1324,0.8917
3,30,1.37715,1.19065,0.03385,0.0197,24.8286,0.8927
3,31,1.29647,1.19091,0.03178,0.0198,24.8495,0.8960
3,32,1.30063,1.31026,0.03000,0.0170,25.3277,0.8973
3,33,1.28359,0.98765,0.03224,0.0180,25.3812,0.8885
3,34,1.18906,1.21374,0.01990,0.0084,29.4930,0.9157
3,35,1.28831,1.13883,0.03145,0.0193,25.6889,0.8897
3,36,1.36952,1.15292,0.03085,0.0196,26.3866,0.8942
3,37,1.26974,1.28072,0.02913,0.0192,26.5902,0.9094
3,38,1.31541,1.26813,0.03017,0.0174,25.2597,0.8974
3,39,1.40155,1.12985,0.03330,0.0217,25.0100,0.8905
3,40,1.34596,0.97869,0.03047,0.0187,26.0190,0.9012
3,41,1.35996,0.94666,0.02646,0.0160,26.6660,0.9155
3,42,1.32682,0.98956,0.02655,0.0156,27.3593,0.9078
3,43,1.24647,1.05351,0.02269,0.0127,26.5284,0.9153
3,44,1.27076,0.99079,0.02536,0.0146,26.7940,0.9102
3,45,1.15006,1.30649,0.03204,0.0214,26.1855,0.9026
3,46,1.08705,1.21797,0.02335,0.0125,26.4658,0.9144
3,47,1.20602,1.32400,0.03376,0.0205,24.4820,0.9009
3,48,1.26527,1.23393,0.02975,0.0180,26.0725,0.9067
3,49,1.24848,1.20392,0.02570,0.0162,27.0347,0.9149
3,50,1.22702,1.28132,0.03006,0.0212,26.5043,0.9144
3,51,1.34458,1.01462,0.02649,0.0166,28.2183,0.9184
3,52,1.14415,1.18332,0.02541,0.0150,26.5777,0.9108
3,53,1.24675,1.16479,0.02630,0.0163,25.7709,0.9159
3,54,1.39862,0.90228,0.02554,0.0153,27.7586,0.9131
3,55,1.15172,1.40761,0.03387,0.0214,23.6346,0.8851
3,56,1.35818,1.17905,0.02754,0.0158,25.7931,0.9207
3,57,1.19012,1.24801,0.03136,0.0195,25.9390,0.9034
3,58,1.35329,0.98462,0.02474,0.0135,26.5573,0.9159
3,59,1.30458,1.13379,0.03322,0.0207,24.0333,0.8958
3,60,1.22601,1.30351,0.02573,0.0143,26.1901,0.9090
3,61,1.04360,1.50910,0.03073,0.0184,25.5553,0.9020
3,62,1.29344,1.39283,0.03771,0.0239,24.3979,0.8894
3,63,1.39039,1.03274,0.03204,0.0195,25.6244,0.9014
3,64,1.22871,1.32999,0.02732,0.0169,25.3160,0.9017
3,65,1.24675,1.06666,0.02765,0.0179,26.0651,0.9128
3,66,1.17513,1.31582,0.01842,0.0097,28.7897,0.9219
3,67,1.29667,1.12543,0.02888,0.0196,24.9849,0.9033
3,68,1.18217,1.38339,0.03075,0.0229,26.5367,0.9068
3,69,1.12303,1.13945,0.02177,0.0114,29.1946,0.9202
3,70,1.19801,1.20845,0.02977,0.0186,25.5973,0.9002
3,71,1.35798,1.07842,0.02991,0.0182,24.8249,0.8975
3,72,1.33332,1.17745,0.03235,0.0210,24.9707,0.8960
3,73,1.12371,1.33588,0.02860,0.0218,27.0523,0.9158
3,74,1.04666,1.34881,0.02645,0.0157,26.7933,0.9162
3,75,1.24892,1.11403,0.02566,0.0151,26.2309,0.9110
3,76,1.14048,1.43045,0.03479,0.0238,24.5609,0.8878
3,77,1.25943,1.31988,0.03218,0.0180,24.5816,0.8952
3,78,1.20365,1.24272,0.02611,0.0126,26.6764,0.9079
3,79,1.23111,1.33362,0.03016,0.0183,26.5654,0.9105
3,80,1.29111,1.22171,0.02492,0.0148,26.6921,0.9169
3,81,1.33346,1.11942,0.02722,0.0172,25.9931,0.9094
3,82,1.29964,1.00728,0.02574,0.0151,26.3067,0.9208
3,83,1.14326,1.33354,0.03171,0.0213,24.3234,0.9084
3,84,1.35214,1.16757,0.03487,0.0245,24.5708,0.8938
3,85,1.35086,1.07504,0.03607,0.0252,24.3948,0.8953
3,86,1.20739,1.40205,0.03821,0.0275,23.4619,0.8926
3,87,1.28076,0.99040,0.02782,0.0188,26.4483,0.9182
3,88,1.22324,1.14108,0.03224,0.0217,25.1307,0.8972
3,89,1.17108,1.38072,0.02732,0.0172,26.4834,0.9115
3,90,1.30527,1.25375,0.03583,0.0235,24.9094,0.8908
3,91,1.25382,1.23657,0.02634,0.0166,26.4268,0.9201
3,92,1.33476,1.03680,0.02911,0.0178,26.8657,0.9094
3,93,1.15195,1.29708,0.03199,0.0212,24.0003,0.8992
3,94,1.28077,1.02191,0.02494,0.0139,27.2122,0.9130
3,95,1.10075,1.38937,0.03491,0.0230,24.1985,0.8957
3,96,1.24067,1.13407,0.03304,0.0212,23.7826,0.8976
3,97,1.01584,1.49665,0.02130,0.0114,28.1292,0.9151
3,98,1.09877,1.56700,0.03459,0.0240,24.3592,0.8972
3,99,1.45420,1.05304,0.03436,0.0235,25.4641,0.8986
3,100,1.38222,1.02547,0.02997,0.0204,24.6840,0.9088
3,101,1.46623,0.88269,0.01686,0.0087,30.0967,0.9309
3,102,1.24172,1.23352,0.03852,0.0290,25.0889,0.8903
