Epoch,Batch,MSE,PSNR,SSIM
18,1,0.0516,12.9558,0.7213
18,2,0.0469,13.2507,0.8321
18,3,0.0506,13.2401,0.8753
18,4,0.0608,12.4965,0.7393
18,5,0.0569,12.7801,0.8446
18,6,0.0545,13.2719,0.8368
18,7,0.0450,13.6383,nan
18,8,0.0789,11.5930,nan
18,9,0.0643,12.7321,0.7346
18,10,0.0400,13.8368,0.7941
18,11,0.0558,12.8231,0.8213
18,12,0.0560,12.4385,0.8109
18,13,0.0581,12.4183,0.8411
18,14,0.0524,12.8939,0.7850
18,15,0.0443,13.4407,0.8864
18,16,0.0661,12.2507,0.8118
18,17,0.0597,12.7929,0.8285
18,18,0.0419,13.7516,0.7950
18,19,0.0511,13.1796,0.8165
18,20,0.0494,13.8554,0.8138
18,21,0.0451,13.6583,0.8677
18,22,0.0387,14.2658,0.8324
18,23,0.0432,14.0496,0.8088
18,24,0.0513,13.3675,0.7633
18,25,0.0440,13.6563,0.7900
19,1,0.0610,12.5392,0.7697
19,2,0.0454,13.6129,0.8911
19,3,0.0409,13.8146,0.8251
19,4,0.0686,12.0008,0.7403
19,5,0.0505,13.4179,0.7783
19,6,0.0624,12.5437,0.7953
19,7,0.0565,12.6496,0.7971
19,8,0.0455,13.4464,nan
19,9,0.0443,13.5471,0.8309
19,10,0.0472,13.4625,0.7984
19,11,0.0468,13.2907,0.8270
19,12,0.0427,13.6498,nan
19,13,0.0522,13.4015,0.8079
19,14,0.0538,13.0931,0.8293
19,15,0.0633,12.6707,0.7895
19,16,0.0473,13.3481,0.7984
19,17,0.0459,13.6671,0.7854
19,18,0.0406,13.7848,0.8336
19,19,0.0525,13.0914,0.7563
19,20,0.0494,13.3881,0.8110
19,21,0.0529,13.0259,0.7714
19,22,0.0411,13.8519,nan
19,23,0.0755,12.5500,0.7866
19,24,0.0446,13.6202,0.7812
19,25,0.0521,13.2657,0.8014
20,1,0.0463,13.4453,0.8010
20,2,0.0586,12.4825,0.7600
20,3,0.0383,14.1239,0.9039
20,4,0.0704,12.5860,0.7041
20,5,0.0460,13.7272,nan
20,6,0.0463,13.7535,0.7595
20,7,0.0467,13.3473,0.8392
20,8,0.0419,14.0585,0.8263
20,9,0.0551,12.8720,0.8345
20,10,0.0440,13.5866,0.7763
20,11,0.0433,13.8321,0.8052
20,12,0.0479,13.5545,0.8549
20,13,0.0391,14.0769,0.8315
20,14,0.0386,14.3857,0.8160
20,15,0.0596,12.5130,0.7160
20,16,0.0351,14.3542,0.8332
20,17,0.0389,14.4261,0.9085
