Epoch,Batch,MSE,PSNR,SSIM
25,24,0.0331,24.8755,0.9312
25,25,0.0266,28.5207,0.9306
26,1,0.1531,18.9032,0.8671
26,2,0.0742,23.2886,0.9299
26,3,0.0941,21.5686,0.8271
26,4,0.0585,23.6382,0.8932
26,5,0.0252,27.7202,0.9508
26,6,0.0317,25.4803,0.9468
26,7,0.0396,26.2203,0.9225
26,8,0.0569,24.0903,0.9225
26,9,0.0311,27.8343,nan
26,10,0.0306,26.4346,0.9344
26,11,0.0581,25.6736,0.9228
26,12,0.0566,28.7908,0.9560
26,13,0.0519,26.3011,0.9227
26,14,0.0661,22.5545,0.8831
26,15,0.0576,22.3219,0.8699
26,16,0.0553,23.5121,0.8940
26,17,0.0574,25.4462,0.9192
26,18,0.0364,23.3913,0.9382
26,19,0.0753,21.7760,0.9290
26,20,0.0194,28.5665,0.9651
26,21,0.0480,26.7512,nan
26,22,0.0784,23.3719,0.8609
26,23,0.0894,20.8291,0.9183
26,24,0.0499,22.0254,0.9409
26,25,0.0420,23.2673,0.8679
27,1,0.0392,24.7753,0.9287
27,2,0.0278,27.0115,0.9318
27,3,0.0516,24.5860,0.8665
27,4,0.0677,26.8863,0.9254
27,5,0.0588,24.0424,0.8974
27,6,0.0268,26.5733,nan
27,7,0.0741,25.9075,0.9602
27,8,0.0203,28.1238,nan
27,9,0.0299,27.9449,0.8825
27,10,0.0401,24.7298,0.9125
27,11,0.0503,23.4238,0.8704
27,12,0.0393,25.5600,0.9232
27,13,0.0504,24.7779,0.8296
27,14,0.0819,23.8649,0.9428
27,15,0.0646,24.2299,0.8740
27,16,0.0272,27.4929,0.9601
27,17,0.0501,23.2074,0.8785
27,18,0.0751,23.2010,0.8856
27,19,0.0208,27.8765,0.9138
27,20,0.0416,26.6783,0.9259
27,21,0.0877,24.2344,0.9340
27,22,0.0980,22.5578,0.8711
27,23,0.0226,26.2844,0.9174
27,24,0.0232,29.4778,0.9584
27,25,0.0305,26.4737,0.9014
28,1,0.0498,25.6451,0.9446
28,2,0.0390,24.5329,0.9229
28,3,0.0656,24.4276,0.9162
28,4,0.0489,27.3519,0.9397
28,5,0.0688,22.4718,0.9458
28,6,0.0313,27.3773,0.9360
28,7,0.0308,29.3097,0.9390
28,8,0.1824,20.8230,0.9190
28,9,0.0539,23.0444,0.8635
28,10,0.1044,23.1875,0.9051
28,11,0.0571,23.6865,0.9337
28,12,0.0544,21.4705,0.9167
28,13,0.0508,25.3972,0.9321
28,14,0.0526,25.6833,0.9492
28,15,0.1438,24.4955,0.8564
28,16,0.0190,28.7840,0.9221
28,17,0.0487,25.8749,0.9141
28,18,0.0178,27.4497,0.9640
28,19,0.0246,26.1568,0.9222
28,20,0.0549,25.5666,0.8407
28,21,0.0577,27.0050,0.9390
28,22,0.0349,27.3421,0.9433
28,23,0.0189,28.2177,0.9518
28,24,0.0398,24.6583,0.9521
28,25,0.0672,22.8173,0.8826
29,1,0.0456,26.2276,0.8935
29,2,0.0183,28.4932,0.9588
29,3,0.0720,24.8876,0.8638
29,4,0.0802,23.5172,0.9138
29,5,0.0251,26.4120,0.9134
29,6,0.0622,25.0900,0.9449
29,7,0.0630,26.2737,0.8511
29,8,0.0430,27.9095,0.8614
29,9,0.0313,24.1945,0.9179
29,10,0.0052,31.2088,0.9819
29,11,0.0306,24.7925,0.9170
29,12,0.0365,24.8622,0.9264
29,13,0.0744,25.7255,0.9437
29,14,0.0850,28.5372,nan
29,15,0.0623,22.3605,0.8986
29,16,0.0351,27.1772,0.8900
29,17,0.0342,24.4616,0.9000
29,18,0.0247,27.4698,0.9499
29,19,0.0458,24.2637,0.8699
29,20,0.0207,26.8594,0.9508
29,21,0.0459,26.4761,0.9442
29,22,0.0580,22.9660,0.9219
29,23,0.0628,22.4116,0.8906
29,24,0.0386,26.1537,0.9545
29,25,0.0564,24.7477,0.8813
30,1,0.0654,25.6387,0.9081
30,2,0.0638,25.5074,0.9642
30,3,0.0245,26.7752,0.9263
30,4,0.0456,28.2436,0.9422
30,5,0.0839,20.3156,0.8587
30,6,0.0886,23.9784,0.9450
30,7,0.0484,25.9783,0.9114
30,8,0.0397,24.9823,0.9293
