Epoch,Batch,MSE,PSNR,SSIM
28,6,0.0560,13.3724,0.8729
28,7,0.0514,14.0094,0.8124
28,8,0.0542,13.5130,nan
28,9,0.0526,13.1581,0.7921
28,10,0.0501,13.3306,0.7547
28,11,0.0506,13.5909,0.7453
28,12,0.0522,12.9314,0.7586
28,13,0.0460,13.7743,0.8366
28,14,0.0437,14.1388,0.8812
28,15,0.0618,12.8048,0.7454
28,16,0.0512,13.8530,0.8076
28,17,0.0399,14.4707,0.7768
28,18,0.0363,15.0388,0.8243
28,19,0.0520,13.6179,0.8268
28,20,0.0472,13.8693,0.8790
28,21,0.0895,11.7458,0.8047
28,22,0.0599,12.7371,0.8081
28,23,0.0419,13.9930,0.8624
28,24,0.0608,13.2707,0.6882
28,25,0.0548,13.4800,0.8190
29,1,0.0488,13.9215,0.8540
29,2,0.0346,14.7185,0.9109
29,3,0.0435,14.7830,0.8753
29,4,0.0511,14.2151,0.6794
29,5,0.0384,15.7337,0.8773
29,6,0.0524,14.3765,0.7425
29,7,0.0659,12.7571,0.7854
29,8,0.0375,14.9696,0.8025
29,9,0.0599,13.0217,0.7038
29,10,0.0535,12.9755,0.7426
29,11,0.0690,11.8263,0.7767
29,12,0.0552,12.3481,0.7126
29,13,0.0722,12.0799,0.7994
29,14,0.0411,14.6837,0.8674
29,15,0.0616,14.1930,0.8084
29,16,0.0704,13.8226,0.7563
29,17,0.0562,13.6150,0.7941
29,18,0.0604,13.3378,0.7951
29,19,0.0492,14.4859,0.8908
29,20,0.0504,13.5368,0.8187
29,21,0.0540,13.0378,0.8073
29,22,0.0425,13.7558,0.8442
29,23,0.0619,12.3190,0.7732
29,24,0.0545,12.7853,0.7551
29,25,0.0569,12.6084,0.7382
30,1,0.0527,12.7655,0.8334
30,2,0.0533,13.3311,0.7802
30,3,0.0547,13.3904,0.7584
30,4,0.0610,12.7098,0.7872
30,5,0.0413,14.0650,0.8210
30,6,0.0309,15.4844,0.8108
30,7,0.0550,14.1314,0.8388
